longitude,latitude,boug,isostatic,resboug
105.1,21.3,-32.404598,-6.9885164,-2.6871545
105.2,21.3,-33.236259,-30.325166,-5.8708727
105.3,21.3,-32.8858,-31.094358,-6.8970524
105.4,21.3,-32.586747,-31.1312,-7.9746382
105.5,21.3,-33.280416,-31.712904,-10.044946
105.6,21.3,-33.488769,-32.257153,-12.466502
105.7,21.3,-30.158646,-28.815065,-11.349582
105.8,21.3,-26.306444,-14.774037,-9.1422821
105.9,21.3,-23.68631,-22.790589,-8.1670498
106,21.3,-21.781575,-20.549959,-7.9072164
106.1,21.3,-22.659949,-21.988158,-9.3104344
106.2,21.3,-23.795636,-22.78795,-10.970965
106.3,21.3,-23.633016,-22.84926,-12.077708
106.4,21.3,-22.511981,-21.61626,-12.226035
106.5,21.3,-17.496129,-10.666257,-8.4795457
106.6,21.3,-12.375745,-5.657838,-3.1358066
106.7,21.3,-10.293208,13.555362,-0.82991454
106.8,21.3,-10.290266,3.9293039,-1.3894218
106.9,21.3,-18.687648,9.1916662,-10.349253
107,21.3,-25.682577,44.183656,-17.906631
96,21.4,-38.434658,-25.446704,-13.094295
96.1,21.4,-34.487096,-23.962375,-7.8616983
96.2,21.4,-28.069484,-16.761007,0.03077798
96.3,21.4,-23.722548,-1.777385,5.8525783
96.4,21.4,-23.079199,13.757325,7.9707916
96.5,21.4,-41.583441,38.135723,-9.0585861
96.6,21.4,-61.419037,51.665732,-27.639935
96.7,21.4,-68.247566,81.113901,-33.410532
96.8,21.4,-73.151125,52.025876,-37.25616
96.9,21.4,-77.509697,10.942746,-40.5568
97,21.4,-81.691158,13.479192,-43.68033
97.1,21.4,-89.957012,-2.9601158,-51.709883
97.2,21.4,-96.656723,9.5981733,-57.963953
97.3,21.4,-89.656562,4.2821714,-50.518151
97.4,21.4,-82.70417,23.998587,-43.120117
97.5,21.4,-91.060402,72.968495,-51.030708
97.6,21.4,-100.45286,33.121525,-60.869675
97.7,21.4,-102.83011,6.1119492,-63.82216
97.8,21.4,-104.53386,14.93292,-66.101144
97.9,21.4,-107.67605,13.246277,-69.818569
98,21.4,-110.9604,11.753369,-73.678153
98.1,21.4,-115.49438,-8.7916232,-78.687122
98.2,21.4,-117.45785,29.216454,-81.370405
98.3,21.4,-104.87829,-23.031789,-69.510658
98.4,21.4,-91.918466,-11.975372,-57.270647
98.5,21.4,-90.281817,17.092731,-56.35381
98.6,21.4,-90.719073,-31.489526,-56.620216
98.7,21.4,-91.621672,8.587108,-57.707709
98.8,21.4,-94.129643,17.723509,-60.400574
98.9,21.4,-100.18752,35.850098,-66.643345
99,21.4,-108.81824,-54.067298,-75.458959
99.1,21.4,-129.1872,-7.9289779,-95.738317
99.2,21.4,-146.18923,-13.622531,-114.31325
99.3,21.4,-135.72514,-6.5173946,-105.42206
99.4,21.4,-123.86299,19.0045,-95.132816
99.5,21.4,-129.73894,43.135201,-102.58167
99.6,21.4,-137.37828,-50.269419,-110.69818
99.7,21.4,-140.54081,6.2454588,-116.83394
99.8,21.4,-142.16484,-9.2622457,-121.4312
99.9,21.4,-138.57646,-26.051517,-120.81605
100,21.4,-134.52549,39.468302,-119.73831
100.1,21.4,-134.33162,-11.058026,-121.05383
100.2,21.4,-131.93453,-47.512832,-120.33368
100.3,21.4,-112.97387,-31.239334,-103.04996
100.4,21.4,-95.731054,-34.710065,-87.484084
100.5,21.4,-106.69886,-5.2584637,-100.12883
100.6,21.4,-118.40284,15.395475,-113.59554
100.7,21.4,-105.6943,-41.426323,-103.19913
100.8,21.4,-92.177865,29.752148,-91.994825
100.9,21.4,-95.462662,-28.171626,-97.591754
101,21.4,-101.15406,-29.16049,-105.59528
101.1,21.4,-105.62684,37.016719,-111.25257
101.2,21.4,-108.66532,-44.397343,-115.33873
101.3,21.4,-101.90147,-37.409562,-109.62256
