longitude,latitude,depth,density,variance
97.5,27.0,2.5,2.7190011,0.0077737473
98.0,27.0,2.5,2.6436043,0.0077683477
98.5,27.0,2.5,2.6896056,0.0077661999
99.0,27.0,2.5,2.6372774,0.0077651841
99.5,27.0,2.5,2.6447028,0.0077647486
100.0,27.0,2.5,2.6798028,0.0077645331
100.5,27.0,2.5,2.6836588,0.0077644378
101.0,27.0,2.5,2.6451692,0.0077643938
101.5,27.0,2.5,2.6418156,0.007764382
102.0,27.0,2.5,2.6573401,0.0077643937
102.5,27.0,2.5,2.6864743,0.0077644374
103.0,27.0,2.5,2.6524638,0.0077645327
103.5,27.0,2.5,2.6410888,0.0077647471
104.0,27.0,2.5,2.6393226,0.0077651828
104.5,27.0,2.5,2.6592008,0.0077661956
105.0,27.0,2.5,2.6343033,0.0077683485
105.5,27.0,2.5,2.6474389,0.0077737539
106.0,27.0,2.5,2.6377549,0.0077844899
106.5,27.0,2.5,2.6376512,0.0078458306
107.0,27.0,2.5,2.6285561,0.0086192965
96.0,27.5,2.5,2.6438851,0.0086133985
96.5,27.5,2.5,2.6240343,0.0078397731
97.0,27.5,2.5,2.6708938,0.0077786472
97.5,27.5,2.5,2.6509057,0.0077678358
98.0,27.5,2.5,2.6571626,0.0077624248
98.5,27.5,2.5,2.677385,0.0077602678
99.0,27.5,2.5,2.6182678,0.0077592526
99.5,27.5,2.5,2.6206118,0.0077588159
100.0,27.5,2.5,2.6398029,0.0077586007
100.5,27.5,2.5,2.6095249,0.0077585051
101.0,27.5,2.5,2.6497252,0.0077584612
101.5,27.5,2.5,2.6491116,0.0077584493
102.0,27.5,2.5,2.6244786,0.0077584611
102.5,27.5,2.5,2.6473553,0.0077585046
103.0,27.5,2.5,2.6202974,0.0077586002
103.5,27.5,2.5,2.6350168,0.0077588143
104.0,27.5,2.5,2.6414466,0.0077592511
104.5,27.5,2.5,2.6274791,0.0077602631
105.0,27.5,2.5,2.6388684,0.007762425
105.5,27.5,2.5,2.6481084,0.0077678414
106.0,27.5,2.5,2.6485358,0.0077787389
106.5,27.5,2.5,2.6392779,0.0078400918
107.0,27.5,2.5,2.6270042,0.0086149061
96.0,28.0,2.5,2.5637275,0.0086089927
96.5,28.0,2.5,2.5768257,0.0078339962
97.0,28.0,2.5,2.7160242,0.0077728558
97.5,28.0,2.5,2.6369334,0.0077618789
98.0,28.0,2.5,2.6333847,0.0077564543
98.5,28.0,2.5,2.6105628,0.0077542863
99.0,28.0,2.5,2.6302365,0.0077532697
99.5,28.0,2.5,2.6450442,0.0077528306
100.0,28.0,2.5,2.663347,0.0077526147
100.5,28.0,2.5,2.6771413,0.0077525184
101.0,28.0,2.5,2.6114806,0.0077524743
101.5,28.0,2.5,2.6678451,0.0077524623
102.0,28.0,2.5,2.6425509,0.0077524742
102.5,28.0,2.5,2.6687893,0.007752518
103.0,28.0,2.5,2.6516006,0.0077526142
103.5,28.0,2.5,2.5940714,0.0077528289
104.0,28.0,2.5,2.5657838,0.007753268
104.5,28.0,2.5,2.6163316,0.0077542811
105.0,28.0,2.5,2.6448819,0.0077564536
105.5,28.0,2.5,2.6130039,0.0077618833
106.0,28.0,2.5,2.6339863,0.0077729473
106.5,28.0,2.5,2.6319845,0.0078343192
107.0,28.0,2.5,2.5910371,0.008610515
96.0,28.5,2.5,2.5870592,0.0086046856
96.5,28.5,2.5,2.6413182,0.0078283488
97.0,28.5,2.5,2.6854163,0.0077672011
97.5,28.5,2.5,2.6784148,0.0077560446
98.0,28.5,2.5,2.6511585,0.0077505883
98.5,28.5,2.5,2.6351878,0.0077483958
99.0,28.5,2.5,2.6355823,0.0077473685
99.5,28.5,2.5,2.6521123,0.0077469219
100.0,28.5,2.5,2.6256034,0.0077467025
100.5,28.5,2.5,2.672338,0.0077466041
101.0,28.5,2.5,2.606699,0.0077465592
101.5,28.5,2.5,2.6928075,0.0077465469
102.0,28.5,2.5,2.6230628,0.0077465591
102.5,28.5,2.5,2.669325,0.0077466036
103.0,28.5,2.5,2.6995458,0.0077467019
103.5,28.5,2.5,2.6468347,0.00774692
104.0,28.5,2.5,2.6022653,0.0077473665
104.5,28.5,2.5,2.639737,0.0077483899
105.0,28.5,2.5,2.6323099,0.0077505863
105.5,28.5,2.5,2.6346305,0.0077560465
106.0,28.5,2.5,2.6540393,0.0077672903
106.5,28.5,2.5,2.6364907,0.0078286727
107.0,28.5,2.5,2.6388257,0.0086062179
96.0,29.0,2.5,2.7205074,0.0086006276
96.5,29.0,2.5,2.7071467,0.0078228729
97.0,29.0,2.5,2.5632025,0.0077616842
97.5,29.0,2.5,2.6805946,0.0077503312
98.0,29.0,2.5,2.6482648,0.0077448305
98.5,29.0,2.5,2.6502274,0.0077426052
99.0,29.0,2.5,2.6640815,0.0077415613
99.5,29.0,2.5,2.6477512,0.0077411043
100.0,29.0,2.5,2.6290834,0.0077408798
100.5,29.0,2.5,2.6766596,0.0077407788
101.0,29.0,2.5,2.6276398,0.0077407328
101.5,29.0,2.5,2.6464129,0.0077407202
102.0,29.0,2.5,2.6912311,0.0077407327
